# 1D Heat Diffusion Solution
# Step:      200
# Time:     0.800000
x,u_numerical,u_analytical,error
  0.00000000,  0.00000000,  0.00000000,  0.000000E+00
  0.01000000,  0.02902578,  0.02902605, -2.639404E-07
  0.02000000,  0.05802292,  0.05802345, -5.276204E-07
  0.03000000,  0.08696280,  0.08696359, -7.907796E-07
  0.04000000,  0.11581686,  0.11581791, -1.053158E-06
  0.05000000,  0.14455662,  0.14455793, -1.314498E-06
  0.06000000,  0.17315372,  0.17315529, -1.574540E-06
  0.07000000,  0.20157993,  0.20158177, -1.833029E-06
  0.08000000,  0.22980721,  0.22980930, -2.089708E-06
  0.09000000,  0.25780770,  0.25781005, -2.344325E-06
  0.10000000,  0.28555377,  0.28555637, -2.596629E-06
  0.11000000,  0.31301803,  0.31302087, -2.846370E-06
  0.12000000,  0.34017337,  0.34017647, -3.093302E-06
  0.13000000,  0.36699301,  0.36699635, -3.337181E-06
  0.14000000,  0.39345047,  0.39345405, -3.577767E-06
  0.15000000,  0.41951964,  0.41952346, -3.814822E-06
  0.16000000,  0.44517480,  0.44517884, -4.048112E-06
  0.17000000,  0.47039062,  0.47039490, -4.277407E-06
  0.18000000,  0.49514222,  0.49514672, -4.502481E-06
  0.19000000,  0.51940518,  0.51940990, -4.723112E-06
  0.20000000,  0.54315555,  0.54316049, -4.939081E-06
  0.21000000,  0.56636988,  0.56637503, -5.150176E-06
  0.22000000,  0.58902528,  0.58903064, -5.356189E-06
  0.23000000,  0.61109939,  0.61110494, -5.556915E-06
  0.24000000,  0.63257041,  0.63257616, -5.752158E-06
  0.25000000,  0.65341716,  0.65342310, -5.941724E-06
  0.26000000,  0.67361907,  0.67362519, -6.125426E-06
  0.27000000,  0.69315619,  0.69316250, -6.303083E-06
  0.28000000,  0.71200926,  0.71201573, -6.474520E-06
  0.29000000,  0.73015966,  0.73016629, -6.639567E-06
  0.30000000,  0.74758947,  0.74759627, -6.798062E-06
  0.31000000,  0.76428151,  0.76428846, -6.949848E-06
  0.32000000,  0.78021930,  0.78022639, -7.094775E-06
  0.33000000,  0.79538710,  0.79539433, -7.232700E-06
  0.34000000,  0.80976995,  0.80977731, -7.363488E-06
  0.35000000,  0.82335365,  0.82336114, -7.487009E-06
  0.36000000,  0.83612481,  0.83613241, -7.603141E-06
  0.37000000,  0.84807081,  0.84807852, -7.711770E-06
  0.38000000,  0.85917987,  0.85918768, -7.812788E-06
  0.39000000,  0.86944102,  0.86944892, -7.906096E-06
  0.40000000,  0.87884413,  0.87885213, -7.991601E-06
  0.41000000,  0.88737994,  0.88738801, -8.069220E-06
  0.42000000,  0.89504001,  0.89504814, -8.138875E-06
  0.43000000,  0.90181678,  0.90182498, -8.200498E-06
  0.44000000,  0.90770356,  0.90771182, -8.254029E-06
  0.45000000,  0.91269456,  0.91270286, -8.299413E-06
  0.46000000,  0.91678483,  0.91679317, -8.336608E-06
  0.47000000,  0.91997035,  0.91997871, -8.365574E-06
  0.48000000,  0.92224796,  0.92225635, -8.386285E-06
  0.49000000,  0.92361543,  0.92362383, -8.398720E-06
  0.50000000,  0.92407141,  0.92407981, -8.402867E-06
  0.51000000,  0.92361543,  0.92362383, -8.398720E-06
  0.52000000,  0.92224796,  0.92225635, -8.386285E-06
  0.53000000,  0.91997035,  0.91997871, -8.365574E-06
  0.54000000,  0.91678483,  0.91679317, -8.336608E-06
  0.55000000,  0.91269456,  0.91270286, -8.299413E-06
  0.56000000,  0.90770356,  0.90771182, -8.254029E-06
  0.57000000,  0.90181678,  0.90182498, -8.200498E-06
  0.58000000,  0.89504001,  0.89504814, -8.138875E-06
  0.59000000,  0.88737994,  0.88738801, -8.069220E-06
  0.60000000,  0.87884413,  0.87885213, -7.991601E-06
  0.61000000,  0.86944102,  0.86944892, -7.906096E-06
  0.62000000,  0.85917987,  0.85918768, -7.812788E-06
  0.63000000,  0.84807081,  0.84807852, -7.711770E-06
  0.64000000,  0.83612481,  0.83613241, -7.603141E-06
  0.65000000,  0.82335365,  0.82336114, -7.487009E-06
  0.66000000,  0.80976995,  0.80977731, -7.363488E-06
  0.67000000,  0.79538710,  0.79539433, -7.232700E-06
  0.68000000,  0.78021930,  0.78022639, -7.094775E-06
  0.69000000,  0.76428151,  0.76428846, -6.949848E-06
  0.70000000,  0.74758947,  0.74759627, -6.798062E-06
  0.71000000,  0.73015966,  0.73016629, -6.639567E-06
  0.72000000,  0.71200926,  0.71201573, -6.474520E-06
  0.73000000,  0.69315619,  0.69316250, -6.303083E-06
  0.74000000,  0.67361907,  0.67362519, -6.125426E-06
  0.75000000,  0.65341716,  0.65342310, -5.941724E-06
  0.76000000,  0.63257041,  0.63257616, -5.752158E-06
  0.77000000,  0.61109939,  0.61110494, -5.556915E-06
  0.78000000,  0.58902528,  0.58903064, -5.356189E-06
  0.79000000,  0.56636988,  0.56637503, -5.150176E-06
  0.80000000,  0.54315555,  0.54316049, -4.939081E-06
  0.81000000,  0.51940518,  0.51940990, -4.723112E-06
  0.82000000,  0.49514222,  0.49514672, -4.502481E-06
  0.83000000,  0.47039062,  0.47039490, -4.277407E-06
  0.84000000,  0.44517480,  0.44517884, -4.048112E-06
  0.85000000,  0.41951964,  0.41952346, -3.814822E-06
  0.86000000,  0.39345047,  0.39345405, -3.577767E-06
  0.87000000,  0.36699301,  0.36699635, -3.337181E-06
